segment,priority,ref_id,ref_eval,message,eval,notes
1,1,,,brake hard before the 150 sign and shift down to 2nd,segment.session_laps() < 1,
1,2,,,approach far left in 5th,,"if no eval, the message wont be read"
1,3,bp,,brake just before the 150 marker,brake_point_diff() < 30,"if false, stay at this stage"
1,1,,bp,brake a bit earlier,50 > coach.brakepoint - driver.brakepoint > 20,evaluated if ref_eval is false
1,2,,bp,brake a bit later,coach.brakepoint - driver.brakepoint < 20,
1,4,,,brake 90% steady down to 75,abs(0.9 - segment.avg_brake_force()) < 0.2,
1,5,,,down shift to 2nd,abs(segment.avg_gear() - 2) < 0.5,
1,6,,,turn in halfway thrugh green strip,,
1,7,,,control throttle to 50% just just before the curb,,
1,8,,,attack curb and clip the sausage,,
1,9,,,lift and rotate when you land,,
1,10,,,control throttle and clip the sausage,,
1,10,,,get to full throttle quickly,,
1,11,,,exit wide on the strip,,
2,1,,,up to 4th stay on the right,segment.session_laps() < 5,
3,1,,,brake hard under the bridge down to 3rd,segment.session_laps() < 5,
4,1,,,brake 50% before the orange on the fence down one gear,segment.session_laps() < 5,
5,1,,,brake 75% before the 50 marker down to 3rd,segment.session_laps() < 5,
6,1,,,brake hard before the 100 shift down to 3rd,segment.session_laps() < 5,
7,1,,,brake hard at the 100 marker to 3rd gear,segment.session_laps() < 5,
